date,ABMM,BNGA,GOTO,MBMA,SIDO,ACES,BRIS,HEAL,MDKA,SILO,ADMR,BRMS,HMSP,MEDC,SMGR,ADRO,BRPT,HRUM,MIKA,SMIL,AKRA,BSDE,ICBP,MNCN,SMRA,AMMN,BTPS,INCO,MPMX,SMSM,AMRT,BUKA,INDF,MTEL,SRTG,ANTM,CMRY,INDY,MYOR,SSIA,ARTO,CPIN,INKP,NCKL,SSMS,ASII,CTRA,INTP,NISP,TBIG,AUTO,DOID,ISAT,PANI,TINS,AVIA,DSNG,ITMG,PGAS,TKIM,BBCA,ELSA,JPFA,PGEO,TLKM,BBNI,EMTK,JSMR,PNLF,TOWR,BBRI,ENRG,KIJA,PTBA,TPIA,BBTN,ERAA,KLBF,PTMP,ULTJ,BBYB,ESSA,MAHA,PTPP,UNTR,BFIN,EXCL,MAPA,PTRO,UNVR,BMRI,GGRM,MAPI,PWON,VKTR,BMTR,GJTL,MARK,SCMA,WIFI
"Dec 9, 2024",3540,1820,78,515,585,770,3010,1480,1920,3060,1345,418,670,1135,3310,2680,935,1115,2640,197,1345,990,11775,304,530,9325,940,3620,995,1960,2940,129,8200,670,2780,1490,5425,1430,2730,1040,2680,4910,7125,840,1045,5225,1065,6975,1355,1950,2340,650,2480,18000,1160,408,1225,27850,1665,6475,10350,472,1955,975,2740,5000,575,4520,448,730,4390,244,204,2750,8250,1235,422,1485,62,1800,256,815,180,396,28500,930,2300,1040,24250,1895,6375,13650,1385,422,128,202,1160,1065,153,430
"Dec 6, 2024",3520,1780,77,510,580,770,2980,1480,1910,3070,1315,408,665,1150,3280,2300,955,1105,2680,204,1320,1000,11825,296,540,9525,965,3640,990,1940,3070,123,7925,660,2590,1485,5375,1420,2730,975,2700,4910,7125,830,1040,5150,1085,6900,1340,1940,2340,650,2500,17000,1165,410,1170,27700,1625,6475,10075,466,1850,975,2760,4860,575,4580,448,710,4310,240,202,2730,8675,1210,414,1465,63,1800,256,815,177,380,27950,930,2310,1010,24700,1870,6225,13525,1415,426,128,198,1100,1055,142,430
"Dec 5, 2024",3530,1775,75,520,585,765,2970,1490,1920,3100,1320,412,665,1125,3370,2340,930,1105,2670,199,1315,995,11900,294,545,9550,920,3640,990,1935,2990,121,7875,660,2670,1490,5475,1440,2720,985,2550,4930,7300,820,1045,5200,1100,6900,1340,1930,2340,670,2530,15200,1145,406,1175,27450,1570,6550,10250,456,1825,985,2770,4820,530,4570,452,720,4260,240,202,2740,8375,1210,404,1505,62,1795,256,810,177,384,27625,930,2250,1025,23800,1875,6150,13650,1445,428,121,200,1100,1125,135,432
"Dec 4, 2024",3550,1760,75,530,580,770,3000,1485,1930,3100,1275,416,655,1130,3440,2360,925,1125,2650,199,1270,1005,11800,296,545,9575,900,3680,990,1910,3020,123,7850,620,2760,1465,5350,1435,2780,975,2580,4980,7300,830,1065,5225,1105,6975,1335,1945,2330,675,2560,15175,1180,414,1135,27500,1595,6650,10200,450,1815,1000,2840,4950,540,4580,458,710,4350,242,198,2710,7575,1220,404,1485,61,1830,260,825,177,388,27625,940,2230,1045,23175,1910,6375,13350,1435,422,129,194,1125,1010,139,428
"Dec 3, 2024",3480,1745,75,515,580,760,2940,1490,1860,3060,1250,398,660,1070,3290,2360,865,1080,2630,200,1225,990,11925,292,535,9350,890,3510,985,1820,2900,125,7775,625,2570,1450,5500,1405,2740,975,2580,4740,7250,825,1045,5125,1075,6900,1325,1940,2300,650,2510,15200,1075,414,1135,27100,1585,6300,10200,444,1760,960,2820,4780,550,4460,464,690,4240,234,197,2700,6975,1205,402,1480,61,1800,260,840,178,380,27150,900,2240,1050,21700,1875,6275,12675,1430,402,129,190,1110,1010,134,428
"Dec 2, 2024",3480,1735,70,505,580,755,2840,1500,1840,3030,1250,398,655,1050,3420,2310,810,1080,2610,206,1225,965,11850,292,520,9025,875,3550,985,1795,2870,122,7550,620,2390,1410,5500,1435,2730,960,2500,4720,7225,825,1020,4940,1025,6850,1330,1970,2250,670,2380,15400,1045,414,1120,26900,1570,6275,9750,442,1710,965,2680,4710,510,4420,446,690,4170,236,196,2670,7050,1220,392,1475,61,1780,262,830,177,378,27400,895,2230,1005,21875,1875,6000,12525,1460,406,127,190,1090,1030,131,422
"Nov 29, 2024",3500,1755,71,500,575,770,2900,1525,1840,3150,1225,414,650,1090,3500,2080,855,1090,2580,192,1230,1000,11900,300,535,9000,910,3600,990,1855,2850,122,7550,620,2120,1430,5600,1405,2700,955,2640,4670,7250,830,1265,5100,1070,6850,1330,1970,2310,690,2400,15550,1125,420,1135,26650,1520,6350,10000,442,1710,990,2710,4980,486,4450,430,705,4250,242,195,2700,6950,1285,414,1500,65,1780,260,820,178,390,26775,930,2220,1100,19725,1865,6150,12825,1575,418,130,197,1135,1015,130,430
"Nov 28, 2024",3560,1765,72,510,580,775,2910,1480,1930,3080,1265,396,650,1125,3610,2760,890,1110,2670,190,1225,1020,11900,308,545,9250,920,3620,995,1905,2870,123,7650,605,2100,1420,5350,1395,2720,965,2670,4750,7400,845,1025,5125,1095,6900,1340,1960,2340,710,2370,14975,1120,420,1155,27300,1540,6425,10000,444,1715,1005,2720,5025,490,4600,418,705,4330,242,195,2790,7000,1290,420,1495,66,1775,272,810,178,392,27375,910,2180,1030,18925,1885,6450,12975,1500,424,131,200,1150,1030,130,424
"Nov 26, 2024",3550,1770,74,525,580,780,2920,1385,2000,3040,1270,410,655,1125,3600,3670,895,1125,2580,189,1230,1020,11975,310,545,9100,915,3650,995,1895,2900,122,7650,610,2220,1450,5325,1420,2740,980,2640,4670,7175,840,1030,5150,1120,6875,1350,1975,2290,720,2440,15200,1165,420,1125,27425,1535,6300,10000,448,1700,1015,2710,4950,482,4700,424,705,4400,258,196,2760,7175,1295,420,1480,66,1665,268,835,179,398,27500,870,2180,1005,18625,1870,6400,13250,1515,424,132,200,1160,1040,121,426
"Nov 25, 2024",3620,1790,76,520,580,785,2950,1370,2030,3020,1265,422,650,1170,3650,3770,870,1125,2590,193,1265,1025,11950,306,565,9100,910,3670,995,1870,2980,122,7600,610,2230,1485,5500,1430,2730,985,2740,4680,7225,830,1020,5175,1100,6825,1350,1905,2340,705,2500,14100,1215,446,1100,27600,1570,6300,10175,456,1760,1020,2740,4990,474,4600,422,705,4470,262,198,2800,7250,1290,422,1500,68,1665,262,820,178,404,27600,890,2190,995,18950,1915,6575,13425,1460,430,137,199,1170,1025,121,420
